"SiteNumber"	"Type"	"LocationID"	"EffectiveDate"	"Region"	"DistrictOffice"	"State"	"StateName"	"County"	"CountyState"	"City"	"FacilityName"	"Ownership"	"Use"	"Owner"	"OwnerAddress"	"OwnerCSZ"	"OwnerPhone"	"Manager"	"ManagerAddress"	"ManagerCSZ"	"ManagerPhone"	"ARPLatitude"	"ARPLatitudeS"	"ARPLongitude"	"ARPLongitudeS"	"ARPMethod"	"ARPElevation"	"ARPElevationMethod"	"MagneticVariation"	"MagneticVariationYear"	"TrafficPatternAltitude"	"ChartName"	"DistanceFromCBD"	"DirectionFromCBD"	"LandAreaCoveredByAirport"	"BoundaryARTCCID"	"BoundaryARTCCComputerID"	"BoundaryARTCCName"	"ResponsibleARTCCID"	"ResponsibleARTCCComputerID"	"ResponsibleARTCCName"	"TieInFSS"	"TieInFSSID"	"TieInFSSName"	"AirportToFSSPhoneNumber"	"TieInFSSTollFreeNumber"	"AlternateFSSID"	"AlternateFSSName"	"AlternateFSSTollFreeNumber"	"NOTAMFacilityID"	"NOTAMService"	"ActiviationDate"	"AirportStatusCode"	"CertificationTypeDate"	"FederalAgreements"	"AirspaceDetermination"	"CustomsAirportOfEntry"	"CustomsLandingRights"	"MilitaryJointUse"	"MilitaryLandingRights"	"InspectionMethod"	"InspectionGroup"	"LastInspectionDate"	"LastOwnerInformationDate"	"FuelTypes"	"AirframeRepair"	"PowerPlantRepair"	"BottledOxygenType"	"BulkOxygenType"	"LightingSchedule"	"BeaconSchedule"	"ATCT"	"UNICOMFrequencies"	"CTAFFrequency"	"SegmentedCircle"	"BeaconColor"	"NonCommercialLandingFee"	"MedicalUse"	"SingleEngineGA"	"MultiEngineGA"	"JetEngineGA"	"HelicoptersGA"	"GlidersOperational"	"MilitaryOperational"	"Ultralights"	"OperationsCommercial"	"OperationsCommuter"	"OperationsAirTaxi"	"OperationsGALocal"	"OperationsGAItin"	"OperationsMilitary"	"OperationsDate"	"AirportPositionSource"	"AirportPositionSourceDate"	"AirportElevationSource"	"AirportElevationSourceDate"	"ContractFuelAvailable"	"TransientStorage"	"OtherServices"	"WindIndicator"
12082.5*A	AIRPORT	'SUS	08/22/2013	ACE	NONE	MO	MISSOURI	ST LOUIS	MO	ST LOUIS	SPIRIT OF ST LOUIS	PU	PU	ST LOUIS COUNTY	18270 EDISON AVE NR 100	CHESTERFIELD, MO 63005-3704	    636-532-2222	MR. DAVID SCHUBERT	18270 EDISON AVE, NR 100	CHESTERFIELD, MO 63005-3704	    636-532-2222	38-39-43.6000N	139183.6000N	090-39-07.4000W	326347.4000W	E	463	S	02E	1990		ST LOUIS	17	W	 1300	ZKC	ZCK	KANSAS CITY				N	STL	SAINT LOUIS		1-800-WX-BRIEF				SUS	Y	09/01/1964	O	IV A U 10/1991	NGY	NO OBJECTION	N	Y	N	Y	S	F	01152013		100LLA	MAJOR	MAJOR	LOW	LOW	SEE RMK	SS-SR	Y	122.950	124.750	N	CG	N		243	74	112	24				51		15198	43372	55851	1345	12/31/2012	NGS	2009-03-25 00:00:00.0	NGS	2009-03-25 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV	Y
52653.*A	AIRPORT	'MDY	08/22/2013	AWP	HNL	MQ	MIDWAY ATOLL	MIDWAY ISLANDS	MQ	SAND ISLAND	HENDERSON FIELD	PU	PU	US DOI FISH & WILDLIFE SVC	300 ALA MOANA BLVD., RM. 5-231, BOX 50167	HONOLULU, HI 96850	    808-954-4819	MR. TIMOTHY DEIKE	1082 MAKEPONO ST.	HONOLULU, HI 96819	    808-954-4829	28-12-05.3400N	101525.3400N	177-22-52.7100W	638572.7100W	E	18	E	10E	1985		HAWAIIAN ISLANDS	0	SW	 1200	ZHN	ZHN	HONOLULU CONTROL FACILITY				N	HNL	HONOLULU		1-800-WX-BRIEF				MDY	Y	12/01/1946	O	IV A U 02/2000		NO OBJECTION				Y	S	F	07102011	04011997					NONE	SEE RMK	SS-SR	N		122.900	N	CG	Y									3		126		21	35	09/22/2011	OWNER	2009-06-18 00:00:00.0	OWNER	2009-06-18 00:00:00.0		TIE		Y-L
11140.1*A	AIRPORT	'HSA	08/22/2013	ASO	JAN	MS	MISSISSIPPI	HANCOCK	MS	BAY ST LOUIS	STENNIS INTL	PU	PU	HANCOCK CO. PORT AND HARBOR COMM.	PO BOX 2267	BAY ST LOUIS, MS 39521	    228-467-7070	BILL COTTER	7250 STENNIS APT RD	KILN, MS 39556	    228-467-7070	30-22-04.1000N	109324.1000N	089-27-16.6000W	322036.6000W	E	23	S	01E	2000		NEW ORLEANS	8	NW	  591	ZHU	ZCH	HOUSTON				N	GWO	GREENWOOD		1-800-WX-BRIEF				HSA	Y	05/01/1970	O	IV A U 12/1992	NGSY	NO OBJECTION	N	N	N	Y	F	F	02072012		100LLA	MAJOR	MAJOR			SEE RMK	SS-SR	Y	122.950	127.150	Y	CG	N		26	5	2	0			2				16000	41100	6500	01/31/2012	NGS	2009-11-04 00:00:00.0	NGS	2009-11-04 00:00:00.0		HGR,TIE	INSTR,RNTL,SALES	Y-L
11194.51*A	AIRPORT	'GTR	08/22/2013	ASO	JAN	MS	MISSISSIPPI	LOWNDES	MS	COLUMBUS/W POINT/STARKVILLE	GOLDEN TRIANGLE RGNL	PU	PU	GOLDEN TRIANGLE REG AUTH	2080 AIRPORT ROAD	COLUMBUS, MS 39701	    662-327-4422	MICHAEL P. HAINSEY	2080 AIRPORT ROAD	COLUMBUS, MS 39701	    662-327-4422	33-26-53.8000N	120413.8000N	088-35-29.0000W	318929.0000W	E	264	S	02W	2015		MEMPHIS	10	W	 1000	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				GTR	Y	08/01/1971	O	I A S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	12042012		100LLA	MINOR	MINOR			SEE RMK	SS-SR	Y	122.950	118.200	Y	CG	N		17	13	4	5				35		2838	3806	12026	15351	11/30/2012	3RD PARTY SURVEY	2011-11-28 00:00:00.0	3RD PARTY SURVEY	2011-11-28 00:00:00.0		HGR,TIE	CARGO	Y-L
11244.*A	AIRPORT	'GLH	08/22/2013	ASO	JAN	MS	MISSISSIPPI	WASHINGTON	MS	GREENVILLE	MID DELTA RGNL	PU	PU	CITY OF GREENVILLE	340 MAIN STREET	GREENVILLE, MS 38701		DRAYLAN GANT	166 FIFTH AVE SUITE 300	GREENVILLE, MS 38703	    662-334-3121	33-28-58.3720N	120538.3720N	090-59-08.2100W	327548.2100W	E	131	S	03E	1990		MEMPHIS	5	NE	 2000	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				GLH	Y	06/01/1942	O	I A S 06/1989	NGPY3	NO OBJECTION	N	N	N	Y	F	F	05232013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.950	119.000	Y	CG	N		14	2	1	0				1332		0	2463	6750	19700	03/31/2013	NGS					HGR,TIE	CARGO,INSTR	Y-L
11253.*A	AIRPORT	'GPT	08/22/2013	ASO	JAN	MS	MISSISSIPPI	HARRISON	MS	GULFPORT	GULFPORT-BILOXI INTL	PU	PU	GULFPORT-BILOXI RGNL APT AUTH	14035-L AIRPORT RD	GULFPORT, MS 39503	    228-863-5951	MR. CLAY WILLIAMS	14035-L AIRPORT RD	GULFPORT, MS 39503	    228-863-5951	30-24-26.2000N	109466.2000N	089-04-12.3000W	320652.3000W	E	28	S	02E	1985		NEW ORLEANS	3	NE	 1400	ZHU	ZCH	HOUSTON				N	GWO	GREENWOOD		1-800-WX-BRIEF				GPT	Y		O	I B S 05/1973	NGPY3	NOT ANALYZED	N	Y	Y	Y	F	F	02082013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.950	123.700	Y	CG	N		16	3	5	2		2		4213		11701	11429	10411	35678	01/31/2013	3RD PARTY SURVEY	2011-06-28 00:00:00.0	3RD PARTY SURVEY	2011-06-28 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV	Y-L
11255.1*A	AIRPORT	'PIB	08/22/2013	ASO	JAN	MS	MISSISSIPPI	JONES	MS	HATTIESBURG/LAUREL	HATTIESBURG-LAUREL RGNL	PU	PU	REGIONAL AIRPORT AUTH	1002 TERMINAL DRIVE	MOSELLE, MS 39459	    601-545-3111	THOMAS HEANUE	1002 TERMINAL DRIVE	MOSELLE, MS 39459	    601-545-3111	31-28-01.7000N	113281.7000N	089-20-13.4000W	321613.4000W	E	298	S	01W	2010		NEW ORLEANS	9	N	 1170	ZHU	ZCH	HOUSTON				N	GWO	GREENWOOD		1-800-WX-BRIEF				PIB	Y	05/01/1974	O	I A S 06/1974	NGY	NO OBJECTION	N	N	N	Y	F	F	02092012		100  A	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	N		40	13	6	3				1460		0	19000	17000	250	02/07/2012	NGS	2001-02-07 00:00:00.0				HGR,TIE	INSTR,RNTL	Y-L
11280.*A	AIRPORT	'JAN	08/22/2013	ASO	JAN	MS	MISSISSIPPI	RANKIN	MS	JACKSON	JACKSON-MEDGAR WILEY EVERS INTL	PU	PU	CITY OF JACKSON	P.O. BOX 98109	JACKSON, MS 39298-8109	    601-939-5631	DIRK VANDERLEEST	P O BOX 98109	JACKSON, MS 39298-8109	    601-939-5631	32-18-40.2000N	116320.2000N	090-04-33.2000W	324273.2000W	E	346	S	00E	2005		MEMPHIS	5	E	 3381	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				JAN	Y	07/01/1963	O	I C S 05/1973	NGY	NO OBJECTION	N	Y	Y	Y	F	F	05252012		100LLA    A+	MINOR	MAJOR	HIGH/LOW		SEE RMK	SS-SR	Y	122.950	120.900	Y	CG			6	6	14	2		9		9863		16329	947	8945	23032	04/27/2012	3RD PARTY SURVEY	2010-10-26 00:00:00.0	3RD PARTY SURVEY	2010-10-26 00:00:00.0		HGR,TIE	AVNCS	
11339.*A	AIRPORT	'MEI	08/22/2013	ASO	JAN	MS	MISSISSIPPI	LAUDERDALE	MS	MERIDIAN	KEY FIELD	PU	PU	MERIDIAN ARPT AUTH	2811 HWY 11 SOUTH	MERIDIAN, MS 39304	    601-482-0364	TOM WILLIAMS	2811 HWY 11 SOUTH	MERIDIAN, MS 39304	    601-482-0364	32-19-57.4000N	116397.4000N	088-45-06.7000W	319506.7000W	E	298	S	02W	2015		MEMPHIS	3	SW	 1000	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				MEI	Y	04/01/1940	O	I A S 05/1973	NGPY3	NO OBJECTION	N	N	Y	Y	F	F	02262013		100  A	MAJOR	MAJOR		HIGH/LOW	SEE RMK	SS-SR	Y	122.950	119.800	Y	CG	N		45	12	4	7		10		6		1416	5316	11487	42352	12/31/2012	3RD PARTY SURVEY	2010-03-16 00:00:00.0	3RD PARTY SURVEY	2010-03-16 00:00:00.0		HGR,TIE	CARGO,CHTR,INSTR,RNTL	Y-L
11358.*A	AIRPORT	'HEZ	08/22/2013	ASO	JAN	MS	MISSISSIPPI	ADAMS	MS	NATCHEZ	HARDY-ANDERS FIELD NATCHEZ-ADAMS COUNTY	PU	PU	ADAMS COUNTY	BOX 1008	NATCHEZ, MS 39121	    601-442-2431	CLINTON B. POMEROY	434 AIRPORT RD	NATCHEZ, MS 39120	    601-442-5171	31-36-49.1800N	113809.1800N	091-17-50.4110W	328670.4110W	E	272	S	00E	2015		HOUSTON	6	NE	  900	ZHU	ZCH	HOUSTON				N	GWO	GREENWOOD		1-800-WX-BRIEF				HEZ	Y	12/01/1944	O	IV A U 06/1993	NGY3	NO OBJECTION	N	N	N	Y	S	F	05242013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		22	1	3	1			0			750	6000	8500	150	05/14/2013	NGS					HGR,TIE	RNTL	Y-L
11375.1*A	AIRPORT	'UOX	08/22/2013	ASO	JAN	MS	MISSISSIPPI	LAFAYETTE	MS	OXFORD	UNIVERSITY-OXFORD	PU	PU	UNIVERSITY OF MISSISSIPPI	P.O. BOX 8750	UNIVERSITY, MS 38677	    662-915-5435	MAC MCMANUS	UNIVERSITY-OXFORD AIRPORT, 1 AIRPORT ROAD	OXFORD, MS 38655	    662-234-2036	34-23-03.6000N	123783.6000N	089-32-12.5000W	322332.5000W	E	452	S	01E	1990		MEMPHIS	2	NW	  297	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				GWO	Y	05/01/1957	O	IV A U 09/1984	NGY	NOT ANALYZED	N	N	N	Y	F	F	02122013		100LLA    A+	MINOR	NONE	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	N		26	12	3	0				21		5761	40530	18186	1313	12/31/2012	NGS	2006-03-01 00:00:00.0	NGS	2006-03-01 00:00:00.0		HGR,TIE	INSTR,RNTL	Y-L
11458.2*A	AIRPORT	'UTA	08/22/2013	ASO	JAN	MS	MISSISSIPPI	TUNICA	MS	TUNICA	TUNICA MUNI	PU	PU	TUNICA COUNTY AIRPORT COMMISSION	PO BOX 158	TUNICA, MS 38676	    662-357-7320	CLIFF NASH, C.M.	PO BOX 158	TUNICA, MS 38676	    662-357-7320	34-41-06.2000N	124866.2000N	090-20-52.0000W	325252.0000W	E	194	S	00E	2005		MEMPHIS	1	E	  863	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				UTA	Y	11/01/1981	O	I B S 08/2005	NGY	CONDITIONAL					S	F	02142013		100LLA	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	N		6	3	3	0				912		224	6419	2668	34	12/31/2012	3RD PARTY SURVEY	2008-11-06 00:00:00.0	3RD PARTY SURVEY	2008-11-06 00:00:00.0		HGR,TIE	AGRI	Y-L
11462.*A	AIRPORT	'TUP	08/22/2013	ASO	JAN	MS	MISSISSIPPI	LEE	MS	TUPELO	TUPELO RGNL	PU	PU	TUPELO AIRPORT AUTHORITY	2704 W. JACKSON,	TUPELO, MS 38801	    662-823-2375	MR. JOSHUA D. ABRAMSON	2704 W. JACKSON STREET	TUPELO, MS 38801	    662-841-6570	34-16-08.3958N	123368.3958N	088-46-11.6139W	319571.6139W	E	346	S	01E	1985		MEMPHIS	3	W	 1061	ZME	ZCM	MEMPHIS				N	GWO	GREENWOOD		1-800-WX-BRIEF				TUP	Y	04/01/1940	O	I A S 05/1973	NGY	NOT ANALYZED	N	N	Y	Y	F	F	12062012		100LLA    A+   A1+	MAJOR	MAJOR	HIGH/LOW	NONE	SEE RMK	SS-SR	Y		118.775	Y	CG	N		38	6	2	2		10		73		4876	18445	21225	7013	12/31/2012	FAA	2013-06-11 00:00:00.0	3RD PARTY SURVEY	2008-01-29 00:00:00.0		BUOY,HGR,TIE	AGRI,INSTR,RNTL	Y-L
12265.*A	AIRPORT	'BIL	08/22/2013	ANM	HLN	MT	MONTANA	YELLOWSTONE	MT	BILLINGS	BILLINGS LOGAN INTL	PU	PU	CITY OF BILLINGS	CITY HALL	BILLINGS, MT 59101	    406-657-8495	THOMAS BINFORD, DIRECTOR	1901 TERMINAL CIRCLE DR, ROOM 216, ROOM 216	BILLINGS, MT 59105	    406-657-8495	45-48-27.6000N	164907.6000N	108-32-34.4000W	390754.4000W	E	3652	S	14E	1990		BILLINGS	2	NW	 2300	ZLC	ZCU	SALT LAKE CITY					GTF	GREAT FALLS		1-800-WX-BRIEF				BIL	Y	04/01/1940	O	I C S 05/1973	NGY3	NO OBJECTION	N	N	Y	Y	F	F	01142013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950		Y	CG	N		91	59	11	6				9735		26647	23363	26189	623	12/31/2012	3RD PARTY SURVEY	2009-07-21 00:00:00.0	3RD PARTY SURVEY	2009-07-21 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
12278.*A	AIRPORT	'BZN	08/22/2013	ANM	HLN	MT	MONTANA	GALLATIN	MT	BOZEMAN	BOZEMAN YELLOWSTONE INTL	PU	PU	GALLATIN AIRPORT AUTHORITY	850 GALLATIN FIELD SUITE 6	BELGRADE, MT 59714	    406-388-6632	BRIAN SPRENGER	850 GALLATIN FIELD RD, SUITE #6	BELGRADE, MT 59714	    406-388-6632	45-46-39.2580N	164799.2580N	111-09-07.2776W	400147.2776W	E	4473	S	13E	2010		GREAT FALLS	7	NW	 2481	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				BZN	Y	07/01/1942	O	I B S 05/1973	NGY3	NO OBJECTION	Y	N	N	Y	F	F	06132013		100  100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950	118.200	N	CG	Y		215	15	26	18	10		0	8765		9168	35324	27892	333	01/01/2013	FAA-EST	2008-10-20 00:00:00.0	NACO	2003-10-24 00:00:00.0		HGR,TIE	AFRT,AGRI,CHTR,GLD,INSTR,PAJA,RNTL,SALES,SURV,TOW	Y-L
12286.*A	AIRPORT	'BTM	08/22/2013	ANM	HLN	MT	MONTANA	SILVER BOW	MT	BUTTE	BERT MOONEY	PU	PU	BERT MOONEY, ARPT AUTH	101 AIRPORT ROAD	BUTTE, MT 59701	    406-494-3771	PAT SHEA	101 AIRPORT RD	BUTTE, MT 59701	    406-494-3771	45-57-17.3000N	165437.3000N	112-29-50.9000W	404990.9000W	E	5550	S	16E	1990		GREAT FALLS	3	SE	  890	ZLC	ZCU	SALT LAKE CITY					GTF	GREAT FALLS		1-800-WX-BRIEF				BTM	Y	04/01/1940	O	I A S 05/1973	NGY3	NO OBJECTION	N	Y	N	Y	F	F	06112013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	Y		24	9		3				808		2001	13200	7300	625	12/01/2012	NGS	2005-09-20 00:00:00.0	NGS	2001-08-06 00:00:00.0		HGR,TIE	AFRT,CHTR,INSTR,RNTL,SALES	Y-L
12375.*A	AIRPORT	'GGW	08/22/2013	ANM	HLN	MT	MONTANA	VALLEY	MT	GLASGOW	WOKAL FIELD/GLASGOW INTL	PU	PU	GLASGOW VALLEY CO	501 COURT SQUARE 14	GLASGOW, MT 59230	    406-228-6214	STEVE STANLEY	100 AIRPORT RD	GLASGOW, MT 59230	    406-228-4023	48-12-44.8000N	173564.8000N	106-36-53.3000W	383813.3000W	E	2295	S	11E	2010		BILLINGS	1	NE	 1552	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				GGW	Y	04/01/1940	O	III A S 11/2005	NGPY3	NO OBJECTION	N	N	N	Y	S	F	06072012		100  A1+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		72	4	1	0						10500	6100	13300	78	12/31/2011	3RD PARTY SURVEY	2012-12-18 00:00:00.0	3RD PARTY SURVEY	2012-12-18 00:00:00.0		HGR,TIE	AFRT,AGRI,AMB,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
12378.1*A	AIRPORT	'GDV	08/22/2013	ANM	HLN	MT	MONTANA	DAWSON	MT	GLENDIVE	DAWSON COMMUNITY	PU	PU	DAWSON COUNTY	207 WEST BELL	GLENDIVE, MT 59330	    406-365-3058	LEON BAKER	318 SO. TAYLOR	GLENDIVE, MT 59330	    406-989-2054	47-08-19.4000N	169699.4000N	104-48-26.0000W	377306.0000W	E	2458	S	10E	2010		BILLINGS	4	NW	  413	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				GDV	Y		O	III A S 10/2005	NGY	NO OBJECTION	N	N	N	Y	S	S	07182012		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		15	0	0	0						2600	1600	1600	15	12/31/2012	3RD PARTY SURVEY	2009-07-21 00:00:00.0	3RD PARTY SURVEY	2009-07-21 00:00:00.0		HGR,TIE	AGRI,CHTR,INSTR,RNTL	Y-L
12381.*A	AIRPORT	'GTF	08/22/2013	ANM	HLN	MT	MONTANA	CASCADE	MT	GREAT FALLS	GREAT FALLS INTL	PU	PU	GREAT FALLS INTL ARPT AUTH	2800 TERMINAL DR	GREAT FALLS, MT 59404-5599	    406-727-3404	JOHN FAULKNER	2800 TERMINAL DRIVE	GREAT FALLS, MT 59404-5599	    406-727-3404	47-28-57.5541N	170937.5541N	111-22-14.1961W	400934.1961W	E	3680	S	16E	1990	800	GREAT FALLS	3	SW	 2113	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				GTF	Y	04/01/1940	O	I C S 05/1973	NGPY3	NO OBJECTION	Y	N	Y	Y	F	F	05012013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950		Y	CG	N		66	12	3	9		18		4926		10458	7905	13675	4627	04/01/2011	FAA-EST	2008-07-25 00:00:00.0	NGS	2006-11-02 00:00:00.0		HGR,TIE	AFRT,AGRI,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES	Y
12399.*A	AIRPORT	'HVR	08/22/2013	ANM	HLN	MT	MONTANA	HILL	MT	HAVRE	HAVRE CITY-COUNTY	PU	PU	CITY OF HAVRE & HILL CO	520 4 TH ST, PO BOX 231	HAVRE, MT 59501	    406-265-4671	J T LOWE	520 4TH ST, P.O. BOX 231	HAVRE, MT 59501	    406-262-3578	48-32-34.7000N	174754.7000N	109-45-44.4000W	395144.4000W	E	2591	S	13E	2010		GREAT FALLS	3	W	  720	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				HVR	Y	04/01/1940	O	III A S 10/2005	NGY3	NO OBJECTION	N	N	N	Y	F	F	05142013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		20	1	0	0				0		1144	4300	2500	50	12/31/2012	NGS	2007-09-21 00:00:00.0	NGS	2007-09-21 00:00:00.0		HGR,TIE	AFRT,AGRI,AMB,CARGO	Y-L
12402.*A	AIRPORT	'HLN	08/22/2013	ANM	HLN	MT	MONTANA	LEWIS AND CLARK	MT	HELENA	HELENA RGNL	PU	PU	HELENA REG ARPT AUTH	2850 SKYWAY DR	HELENA, MT 59601	    406-442-2821	RON MERCER	2850 SKYWAY DR	HELENA, MT 59601	    406-442-2821	46-36-24.5000N	167784.5000N	111-58-57.9000W	403137.9000W	E	3877	S	16E	1990		GREAT FALLS	2	NE	 1224	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				HLN	Y	04/01/1940	O	I B S 05/1973	NGY3	NO OBJECTION	N	Y	Y	Y	F	F	06272012		100  100LL80   A	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	Y	122.950	118.300	Y	CG	Y		273	27	30	22		23	2	1982		5931	11726	14139	4822	12/31/2012	NGS	2005-10-22 00:00:00.0	NGS	2002-10-16 00:00:00.0		HGR,TIE	AFRT,AGRI,AMB,CARGO,CHTR,INSTR,RNTL,SALES,SURV	Y-L
12418.*A	AIRPORT	'GPI	08/22/2013	ANM	HLN	MT	MONTANA	FLATHEAD	MT	KALISPELL	GLACIER PARK INTL	PU	PU	FLATHEAD MUNI ARPT AUTHORITY	4170 HWY 2	KALISPELL, MT 59901	    406-257-5994	CINDI MARTIN	4170 HWY 2	KALISPELL, MT 59901	    406-257-5994	48-18-37.7000N	173917.7000N	114-15-21.6000W	411321.6000W	E	2977	S	15E	2010		GREAT FALLS	6	NE	 1525	ZLC	ZCU	SALT LAKE CITY				N	GTF	GREAT FALLS		1-800-WX-BRIEF				GPI	Y	02/01/1944	O	I B S 05/1973	NGY3	NO OBJECTION	N	Y	N	Y	F	F	03232013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.950	124.550	Y	CG	N		124	26	5	4				3986		5871	5532	11072	1067	01/01/2012	NGS	2005-10-08 00:00:00.0	3RD PARTY SURVEY	2005-04-19 00:00:00.0		HGR,TIE	AVNCS,CHTR,INSTR,RNTL,SURV	Y-L
12426.*A	AIRPORT	'LWT	08/22/2013	ANM	HLN	MT	MONTANA	FERGUS	MT	LEWISTOWN	LEWISTOWN MUNI	PU	PU	LEWISTOWN & FERGUS COUNTY	BOX 343	LEWISTOWN, MT 59457	    406-535-5119	JERRY MOLINE	BOX 343, 190 TERMINAL DRIVE, 190 TERMINAL DR	LEWISTOWN, MT 59457	    406-350-3264	47-02-57.3000N	169377.3000N	109-28-00.1000W	394080.1000W	E	4170	S	15E	1990		GREAT FALLS	2	SW	 2200	ZLC	ZCU	SALT LAKE CITY					GTF	GREAT FALLS		1-800-WX-BRIEF				LWT	Y	04/01/1940	O	III A S 12/2005	NGPY3	CONDITIONAL	N	N	N	Y	S	F	05152013		100  100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	N		55	6	0	3				0		2496	5700	7908	700	12/31/2012	NGS	2001-10-04 00:00:00.0	NGS	2001-10-04 00:00:00.0		HGR,TIE	AGRI,AVNCS,CHTR,INSTR,RNTL,SALES	Y-L
12450.*A	AIRPORT	'MLS	08/22/2013	ANM	HLN	MT	MONTANA	CUSTER	MT	MILES CITY	FRANK WILEY FIELD	PU	PU	MILES CITY	CITY HALL,	MILES CITY, MT 59301	    406-234-1296	BRAND HIRSCH	BOX 910	MILES CITY, MT 59301	    406-951-0955	46-25-40.7000N	167140.7000N	105-53-10.5000W	381190.5000W	E	2630	S	12E	2000		BILLINGS	2	NW	 1640	ZLC	ZCU	SALT LAKE CITY					GTF	GREAT FALLS		1-800-WX-BRIEF				MLS	Y	04/01/1940	O	III A S 10/2005	NGY3	NO OBJECTION	N	N	N	Y	S	S	07202012		100LLA	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	N		18	2	0	0						3200	3200	4800		01/01/2012	3RD PARTY SURVEY	2009-07-25 00:00:00.0	3RD PARTY SURVEY	2009-07-25 00:00:00.0		HGR,TIE		Y-L
12453.*A	AIRPORT	'MSO	08/22/2013	ANM	HLN	MT	MONTANA	MISSOULA	MT	MISSOULA	MISSOULA INTL	PU	PU	MISSOULA CTY ARPT AUTH	5225 HIGHWAY 10 WEST	MISSOULA, MT 59808	    406-728-4381	CRIS JENSEN	5225 HIGHWAY 10 WEST	MISSOULA, MT 59808	    406-728-4381	46-54-58.7000N	168898.7000N	114-05-26.0000W	410726.0000W	E	3206	S	17E	1990		GREAT FALLS	4	NW	 2700	ZLC	ZCU	SALT LAKE CITY					GTF	GREAT FALLS		1-800-WX-BRIEF				MSO	Y	07/01/1941	O	I B S 05/1973	NGY3	NO OBJECTION	N	N	N	Y	F	F	03122012		100LLA1+	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950	118.400	Y	CG	Y		87	22	20	16				4124		9727	13405	8760	672	12/31/2011	3RD PARTY SURVEY	2008-05-13 00:00:00.0	3RD PARTY SURVEY	2008-05-13 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CHTR,INSTR,PAJA,RNTL,SALES	Y-L
